Essex County	New Jersey	799,785	784,037	2.01%
Essex County	Massachusetts	790,736	745,461	6.07%
San Joaquin County	California	781,462	687,127	13.73%
Cobb County	Georgia	768,283	689,495	11.43%
DeKalb County	Georgia	768,079	692,443	10.92%
Jefferson County	Kentucky	764,069	742,054	2.97%
San Mateo County	California	762,357	719,699	5.93%
Polk County	Florida	761,137	603,102	26.20%
Denver County	Colorado	749,103	603,359	24.16%
Monroe County	New York	739,582	744,580	-0.67%
El Paso County	Colorado	737,031	627,031	17.54%
District of Columbia County	District of Columbia	714,153	605,226	18.00%
Norfolk County	Massachusetts	713,865	673,019	6.07%
Jackson County	Missouri	707,465	674,845	4.83%
Davidson County	Tennessee	701,400	627,746	11.73%
Lake County	Illinois	690,431	704,170	-1.95%
Will County	Illinois	689,931	678,824	1.64%
Bernalillo County	New Mexico	681,295	663,923	2.62%
Hudson County	New Jersey	673,311	635,652	5.92%
Arapahoe County	Colorado	666,176	574,747	15.91%
Utah County	Utah	665,665	519,998	28.01%
Kent County	Michigan	664,165	602,975	10.15%
Tulsa County	Oklahoma	659,290	604,973	8.98%
Jefferson County	Alabama	656,861	658,215	-0.21%
Providence County	Rhode Island	642,887	627,838	2.40%
Montgomery County	Texas	642,633	459,208	39.94%
Williamson County	Texas	638,727	426,287	49.83%
Bucks County	Pennsylvania	629,186	625,385	0.61%
Ocean County	New Jersey	618,602	577,564	7.11%
Monmouth County	New Jersey	615,467	630,461	-2.38%
Brevard County	Florida	615,420	543,965	13.14%
Washington County	Oregon	610,968	531,638	14.92%
Johnson County	Kansas	610,949	545,655	11.97%
Jefferson County	Colorado	589,859	535,548	10.14%
Anne Arundel County	Maryland	586,656	539,284	8.78%
Pasco County	Florida	583,661	465,487	25.39%
Douglas County	Nebraska	581,199	518,574	12.08%
Baltimore City County	Maryland	575,584	620,915	-7.30%
Delaware County	Pennsylvania	569,779	558,981	1.93%
Volusia County	Florida	567,650	494,440	14.81%
Bristol County	Massachusetts	567,467	549,166	3.33%
New Castle County	Delaware	561,159	538,752	4.16%
Union County	New Jersey	556,219	537,369	3.51%
Dane County	Wisconsin	556,189	489,218	13.69%
Stanislaus County	California	555,728	515,145	7.88%
Ramsey County	Minnesota	553,219	509,387	8.60%
Lancaster County	Pennsylvania	549,234	520,319	5.56%
Guilford County	North Carolina	546,308	489,618	11.58%
Greenville County	South Carolina	541,384	452,697	19.59%
Spokane County	Washington	541,188	472,081	14.64%
Summit County	Ohio	540,333	541,645	-0.24%
Montgomery County	Ohio	531,861	535,597	-0.70%
Kane County	Illinois	531,769	516,068	3.04%
Chester County	Pennsylvania	530,795	499,925	6.17%
Adams County	Colorado	529,555	443,691	19.35%
Plymouth County	Massachusetts	526,762	495,926	6.22%
Sedgwick County	Kansas	521,158	499,128	4.41%
Ada County	Idaho	507,233	393,354	28.95%
Camden County	New Jersey	506,707	513,275	-1.28%
Clark County	Washington	501,869	426,704	17.62%
Passaic County	New Jersey	499,112	502,023	-0.58%
Polk County	Iowa	498,817	432,352	15.37%
Pinal County	Arizona	494,755	379,094	30.51%
Morris County	New Jersey	489,395	492,617	-0.65%
Lake County	Indiana	487,599	495,947	-1.68%
Washoe County	Nevada	485,849	421,954	15.14%
Sonoma County	California	485,722	484,755	0.20%
Seminole County	Florida	479,234	423,051	13.28%
Prince William County	Virginia	478,535	406,169	17.82%
Knox County	Tennessee	478,423	432,938	10.51%
Richmond County	New York	475,909	469,615	1.34%
Tulare County	California	469,407	442,969	5.97%
Hampden County	Massachusetts	462,340	464,237	-0.41%
Onondaga County	New York	458,286	467,533	-1.98%
York County	Pennsylvania	451,480	435,413	3.69%
Solano County	California	451,479	413,967	9.06%
Virginia Beach City County	Virginia	450,224	438,859	2.59%
Sarasota County	Florida	448,568	379,930	18.07%
Santa Barbara County	California	447,937	424,231	5.59%
Burlington County	New Jersey	446,557	449,129	-0.57%
Dakota County	Minnesota	436,983	399,211	9.46%
East Baton Rouge Parish	Louisiana	436,061	440,912	-1.10%
Monterey County	California	434,283	416,373	4.30%
Jefferson Parish	Louisiana	429,711	432,610	-0.67%
Loudoun County	Virginia	429,570	315,478	36.16%
Lucas County	Ohio	425,820	441,434	-3.54%
Cameron County	Texas	425,211	407,630	4.31%
Clackamas County	Oregon	423,729	376,788	12.46%
Berks County	Pennsylvania	422,434	412,039	2.52%
Hillsborough County	New Hampshire	421,815	401,055	5.18%
Charleston County	South Carolina	421,774	350,940	20.18%
Manatee County	Florida	420,985	323,424	30.17%
Richland County	South Carolina	418,873	385,735	8.59%
Mobile County	Alabama	411,814	413,315	-0.36%
Placer County	California	410,327	350,021	17.23%
St. Charles County	Missouri	408,506	361,803	12.91%
Waukesha County	Wisconsin	407,550	390,028	4.49%
Genesee County	Michigan	404,063	424,953	-4.92%
Collier County	Florida	398,304	322,581	23.47%
Pulaski County	Arkansas	391,897	383,538	2.18%
Orange County	New York	390,568	373,445	4.59%
Osceola County	Florida	390,341	269,837	44.66%
Lane County	Oregon	389,103	351,920	10.57%
Forsyth County	North Carolina	388,453	351,374	10.55%
Orleans Parish	Louisiana	388,424	347,772	11.69%
Lake County	Florida	387,914	297,709	30.30%
Allen County	Indiana	387,739	355,945	8.93%
Butler County	Ohio	385,402	369,102	4.42%
Brazoria County	Texas	385,018	314,428	22.45%
Madison County	Alabama	384,719	336,095	14.47%
Marion County	Florida	378,613	331,331	14.27%
Bell County	Texas	377,978	312,849	20.82%
Hamilton County	Tennessee	374,826	337,214	11.15%
Horry County	South Carolina	374,033	270,274	38.39%
Lehigh County	Pennsylvania	371,236	350,164	6.02%
Larimer County	Colorado	369,377	300,441	22.94%
Stark County	Ohio	369,322	375,372	-1.61%
Douglas County	Colorado	367,484	286,977	28.05%
Mercer County	New Jersey	365,914	367,713	-0.49%
